Customer name,Customer id,Account number,Date of Birth,Gender
John Doe,1001,1234567890,15/03/1985,Male
Jane Smith,1002,9876543210,20/07/1990,Female
Michael Johnson,1003,5678901234,10/11/1982,Male
Emily Brown,1004,3456789012,05/04/1995,Female
Robert Lee,1005,7890123456,25/09/1978,Male
Sarah Adams,1006,2345678901,30/12/1989,Female
David Wilson,1007,8901234567,18/06/1980,Male
Laura Garcia,1008,4567890123,22/02/1993,Female
Daniel Martin,1009,9012345678,12/08/1987,Male
Olivia Taylor,1010,6789012345,05/01/1998,Female
